Категория,Ачинской (Мужского),Ачинской (Женского),Канской (Мужского),Канской (Женского),Минусинской (Мужского),Минусинской (Женского),Итого (Мужского),Итого (Женского)
Нижних чинов,-,-,-,-,-,-,-,-
Их детей,-,-,-,-,-,-,-,-
Итого по разделу Морское ведомство,-,-,-,-,-,-,-,-
V. Войск Гражданского ведомства: 1. Городовых казаков в составе полков,38,14,86,49,197,156,723,423
V. Войск Гражданского ведомства: Их детей,14,14,38,48,113,170,332,371
V. Войск Гражданского ведомства: Итого по 1,52,28,124,97,310,326,1055,794
V. Войск Гражданского ведомства: 2. Станичных казаков,-,-,-,-,420,414,420,414
V. Войск Гражданского ведомства: Их детей,-,-,-,-,370,429,370,429
V. Войск Гражданского ведомства: Итого по 2,-,-,-,-,790,843,790,843
V. Войск Гражданского ведомства: 3. Пограничных казаков: Русских,-,-,-,-,-,-,-,-
V. Войск Гражданского ведомства: Их детей,-,-,-,-,-,-,-,-
V. Войск Гражданского ведомства: Инородных,-,-,-,-,-,-,-,-
V. Войск Гражданского ведомства: Их детей,-,-,-,-,-,-,-,-
V. Войск Гражданского ведомства: Итого по 3,-,-,-,-,-,-,-,-
V. Войск Гражданского ведомства: 4. Башкирских казаков,-,-,-,-,-,-,-,-
V. Войск Гражданского ведомства: Их детей,-,-,-,-,-,-,-,-
V. Войск Гражданского ведомства: Итого по 4,-,-,-,-,-,-,-,-
V. Войск Гражданского ведомства: Общий Итого,52,28,124,97,1100,1169,1845,1637
VI. Часть горная: 1. Горных чиновников,-,-,2,3,-,-,3,4
VI. Часть горная: Их детей,-,-,3,4,-,-,3,4
VI. Часть горная: 2. Канцелярских чиновников,-,-,1,1,-,-,1,1
VI. Часть горная: Их детей,-,-,-,1,-,-,-,1
VI. Часть горная: 3. Строевых,-,-,2,-,-,-,2,-
VI. Часть горная: Их детей,-,-,-,-,-,-,-,-
VI. Часть горная: 4. Заводских работников,-,-,10,8,-,-,10,8
VI. Часть горная: Их детей,-,-,8,7,-,-,8,7
VI. Часть горная: Итого,-,-,26,24,-,-,27,25
