id;Текст сущности;REF (ID);Частота;Type (заполнить);Subtype (заполнить)
orgName;Енисейского Общего Губернского Управления;#org_enisei_general_governance;2;Организации;Гос. Органы
orgName;Главное Тюремное Управление;#org_главное_тюремное_управление;2;Организации;Тюрьмы
orgName;Главное Интендантское Управление;#org_главное_интендантское_управление;2;Организации;Гос. Органы
orgName;ЕНИСЕЙСКИЙ ГУБЕРНСКИЙ СТАТИСТИЧЕСКИЙ КОМИТЕТ;#org_statistical_committee;1;Организации;Гос. Органы
orgName;Государственный архив;#org_государственный_архив;1;Организации;Гос. Органы
orgName;Приказа общественного призрения;#org_prikaz_public_welfare;1;Организации;Гос. Органы
orgName;при музее открыта библиотека;#org_музее_открыта_библиотека;1;Организации;Образование
orgName;Мужская классическая гимназия;#org_мужская_классическая_гимназия;1;Организации;Образование
orgName;Женская гимназия;#org_женская_гимназия;1;Организации;Образование
orgName;ГЛАВНОЕ ИНТЕНДАНТСКОЕ УПРАВЛЕНИЕ;#org_главное_интендантское_управление;1;Организации;Гос. Органы
orgName;Енисейское Общее Губернское Управление;;1;Организации;Гос. Органы
orgName;Приказ общественного призрения;;1;Организации;Гос. Органы
orgName;Енисейский губернский статистический комитет;;1;Организации;Гос. Органы
orgName;Государственный архив;;1;Организации;Гос. Органы
orgName;Красноярское Губернское Казначейство;;1;Организации;Гос. Органы
orgName;Главное Тюремное Управление;;1;Организации;Тюрьмы
orgName;Главное Интендантское Управление;;1;Организации;Гос. Органы
orgName;музее открыта библиотека;;1;Организации;Образование
orgName;Мужская классическая гимназия;;1;Организации;Образование
orgName;Женская гимназия;;1;Организации;Образование
persName;Иванова;#person_иванова;2;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Петрова;#person_петрова;2;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Ивановский;#person_ивановский;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;И. С. Щеголева;#person_щеголева;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Н. Н. Дементьева;#person_дементьева;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Баландина;#person_баландина;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Н. Г. Гадалова;#person_гадалова;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Петров;#person_петров;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Петрову;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Иванова;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Петрова;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Ивановский;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Петровской;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Щеголева;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Дементьева;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Баландина;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Гадалова;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;носов;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Петров;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
placeName;Енисейской губернии;#place_enisei_province;25;Места;Адм. единицы
placeName;г. Красноярске;#place_krasnoyarsk;15;Места;Насел. пункты
placeName;Канске;#place_kansk;13;Места;Насел. пункты
placeName;Енисейского;#place_enisei_okrug;12;Места;Насел. пункты
placeName;Минусинске;#place_minusinsk;12;Места;Насел. пункты
placeName;Минусинском округе;#place_minusinsk_okrug;11;Места;Адм. единицы
placeName;Енисей;#place_enisey_river;10;Места;Насел. пункты
placeName;Ачинске;#place_achinsk;10;Места;Насел. пункты
placeName;Ачинском;#place_achinsk;8;Места;Насел. пункты
placeName;Енисейске;#place_enisei_okrug;8;Места;Насел. пункты
placeName;Ачинска;#place_achinsk;8;Места;Насел. пункты
placeName;Красноярской;#place_krasnoyarsk;8;Места;Насел. пункты
placeName;Енисейского округа;#place_enisei_okrug;7;Места;Адм. единицы
placeName;г. Енисейске;#place_eniseysk;7;Места;Насел. пункты
placeName;Енисейском округе;#place_enisei_okrug;7;Места;Адм. единицы
placeName;Красноярскому;#place_krasnoyarsk;7;Места;Насел. пункты
placeName;Ачинскому;#place_achinsk;7;Места;Насел. пункты
placeName;Канскому;#place_kansk;7;Места;Насел. пункты
placeName;Минусинскому;#place_minusinsk;7;Места;Насел. пункты
placeName;Енисейскому;#place_enisei_okrug;7;Места;Насел. пункты
placeName;Восточной Сибири;#place_eastern_siberia;6;Места;Адм. единицы
placeName;Енисейском;#place_enisei_okrug;6;Места;Насел. пункты
placeName;Туруханском;#place_turukhansk;6;Места;Насел. пункты
placeName;Минусинска;#place_minusinsk;6;Места;Насел. пункты
placeName;Енисейской;#place_enisei_okrug;6;Места;Насел. пункты
placeName;Канском;#place_kansk;5;Места;Насел. пункты
placeName;Канского;#place_kansk;5;Места;Насел. пункты
placeName;Минусинской;#place_minusinsk;5;Места;Насел. пункты
placeName;Ачинской;#place_achinsk;5;Места;Насел. пункты
placeName;Енисейская губерния;#place_enisei_province;4;Места;Адм. единицы
placeName;Минусинском;#place_minusinsk;4;Места;Насел. пункты
placeName;Енисейский;#place_enisei_okrug;4;Места;Насел. пункты
placeName;Минусинского округа;#place_minusinsk_okrug;4;Места;Адм. единицы
placeName;г. Красноярска;#place_krasnoyarsk;4;Места;Насел. пункты
placeName;г. Енисейска;#place_eniseysk;4;Места;Насел. пункты
placeName;Канска;#place_kansk;4;Места;Насел. пункты
placeName;Красноярского округа;#place_krasnoyarsk_okrug;4;Места;Адм. единицы
placeName;Канской;#place_kansk;4;Места;Насел. пункты
placeName;г. Красноярск;#place_krasnoyarsk;3;Места;Насел. пункты
placeName;Красноярском округе;#place_krasnoyarsk_okrug;3;Места;Адм. единицы
placeName;Минусинского;#place_minusinsk;3;Места;Насел. пункты
placeName;Туруханска;#place_turukhansk;3;Места;Насел. пункты
placeName;Енисейск;#place_enisei_okrug;3;Места;Насел. пункты
placeName;Томской губернии;#place_tomsk_province;3;Места;Адм. единицы
placeName;Ачинский;#place_achinsk;3;Места;Насел. пункты
placeName;Канский;#place_kansk;3;Места;Насел. пункты
placeName;Минусинский;#place_minusinsk;3;Места;Насел. пункты
placeName;Ачинского округа;#place_achinsk_okrug;3;Места;Адм. единицы
placeName;Канского округа;#place_kansk_okrug;3;Места;Адм. единицы
placeName;Красноярского;#place_krasnoyarsk;2;Места;Насел. пункты
placeName;Ачинского;#place_achinsk;2;Места;Насел. пункты
placeName;Красноярское;#place_krasnoyarsk;2;Места;Насел. пункты
placeName;Красноярск;#place_krasnoyarsk;2;Места;Насел. пункты
placeName;Иркутской губернии;#place_irkutsk_province;2;Места;Адм. единицы
placeName;Тобольской;#place_тобольской;2;Места;Адм. единицы
placeName;Чулым;#place_chulym_river;2;Места;Географические точки
placeName;Туруханского края;#place_turukhansk_region;2;Места;Насел. пункты
placeName;Красноярском;#place_krasnoyarsk;2;Места;Насел. пункты
placeName;Ачинском округе;#place_achinsk_okrug;2;Места;Адм. единицы
placeName;Канском округе;#place_kansk_okrug;2;Места;Адм. единицы
placeName;Енисейска;#place_enisei_okrug;2;Места;Насел. пункты
placeName;Красноярский;#place_krasnoyarsk;2;Места;Насел. пункты
placeName;Туруханске;#place_turukhansk;2;Места;Насел. пункты
placeName;Красноярска;#place_krasnoyarsk;2;Места;Насел. пункты
placeName;Ачинск;#place_achinsk;2;Места;Насел. пункты
placeName;Чулыму;#place_chulym_river;2;Места;Географические точки
placeName;Красноярску;#place_krasnoyarsk;2;Места;Насел. пункты
placeName;Енисейску;#place_enisei_okrug;2;Места;Насел. пункты
placeName;Канску;#place_kansk;2;Места;Насел. пункты
placeName;Ачинску;#place_achinsk;2;Места;Насел. пункты
placeName;Минусинску;#place_minusinsk;2;Места;Насел. пункты
placeName;Тунгусской;#place_тунгусской;1;Места;Насел. пункты
placeName;Иркутскому;#place_irkutsk_province;1;Места;Насел. пункты
placeName;Томскому;#place_tomsk_province;1;Места;Насел. пункты
placeName;Вилюйским;#place_вилюйским;1;Места;Насел. пункты
placeName;Якутской;#place_якутской;1;Места;Насел. пункты
placeName;Березовским;#place_березовским;1;Места;Насел. пункты
placeName;Нижнеудинского;#place_нижнеудинского;1;Места;Насел. пункты
placeName;Киренского;#place_киренского;1;Места;Насел. пункты
placeName;Красноярский округ;#place_krasnoyarsk_okrug;1;Места;Адм. единицы
placeName;Туруханский край;#place_turukhansk_region;1;Места;Адм. единицы
placeName;Енисейскую губернию;#place_enisei_province;1;Места;Адм. единицы
placeName;Туруханскому краю;#place_turukhansk_region;1;Места;Насел. пункты
placeName;Тубу;#place_tuba_river;1;Места;Географические точки
placeName;Кеть;#place_ket_river;1;Места;Географические точки
placeName;Енисейское;#place_enisei_okrug;1;Места;Насел. пункты
placeName;Минусинский округ;#place_minusinsk_okrug;1;Места;Адм. единицы
placeName;Томска;#place_tomsk_province;1;Места;Насел. пункты
placeName;Иркутска;#place_irkutsk_province;1;Места;Насел. пункты
placeName;Каменский;#place_kamensky_plant;1;Места;Насел. пункты
placeName;Туруханский;#place_turukhansk;1;Места;Насел. пункты
placeName;Забайкальской;#place_забайкальской;1;Места;Адм. единицы
placeName;Тубе;#place_tuba_river;1;Места;Насел. пункты
placeName;Рыбинской;#place_rybinskoe;1;Места;Насел. пункты
placeName;Анцырской;#place_antsyrskaya_volost;1;Места;Насел. пункты
placeName;Тесинской;#place_tesinskaya_volost;1;Места;Насел. пункты
placeName;Иркутского;#place_irkutsk_province;1;Места;Насел. пункты
placeName;Иркутское;#place_irkutsk_province;1;Места;Насел. пункты
placeName;Иркутск;#place_irkutsk_province;1;Места;Насел. пункты
placeName;Енисейским;#place_enisei_okrug;1;Места;Насел. пункты
placeName;Красноярске;#place_krasnoyarsk;1;Места;Насел. пункты
placeName;Канск;#place_kansk;1;Места;Насел. пункты
placeName;Минусинск;#place_minusinsk;1;Места;Насел. пункты
placeName;Красноярск;;1;Места;Насел. пункты
placeName;Енисейск;;1;Места;Насел. пункты
placeName;Канск;;1;Места;Насел. пункты
placeName;Ачинск;;1;Места;Насел. пункты
placeName;Минусинск;;1;Места;Насел. пункты
placeName;Туруханск;;1;Места;Насел. пункты
placeName;Енисейская губерния;;1;Места;Адм. единицы
placeName;Томская губерния;;1;Места;Адм. единицы
placeName;Иркутская губерния;;1;Места;Адм. единицы
placeName;Восточная Сибирь;;1;Места;Адм. единицы
placeName;Туруханский край;;1;Места;Адм. единицы
placeName;Енисейский округ;;1;Места;Адм. единицы
placeName;Красноярский округ;;1;Места;Адм. единицы
placeName;Канский округ;;1;Места;Адм. единицы
placeName;Ачинский округ;;1;Места;Адм. единицы
placeName;Минусинский округ;;1;Места;Адм. единицы
placeName;Енисей;;1;Места;Насел. пункты
placeName;Туба;;1;Места;Географические точки
placeName;Чулым;;1;Места;Географические точки
placeName;Кеть;;1;Места;Географические точки
placeName;Каменский завод;;1;Места;Насел. пункты
placeName;Рыбинское;;1;Места;Насел. пункты
placeName;Тесинская волость;;1;Места;Адм. единицы
placeName;Анцырская волость;;1;Места;Адм. единицы
placeName;Тунгусской;;1;Места;Насел. пункты
placeName;Вилюйским;;1;Места;Насел. пункты
placeName;Якутской;;1;Места;Насел. пункты
placeName;Березовским;;1;Места;Насел. пункты
placeName;Тобольской;;1;Места;Адм. единицы
placeName;Нижнеудинского;;1;Места;Насел. пункты
placeName;Киренского;;1;Места;Насел. пункты
placeName;Забайкальской;;1;Места;Адм. единицы
