id;Текст сущности;REF (ID);Частота;Type (заполнить);Subtype (заполнить)
orgName;Губернского правления;#org_gubernskoe_pravlenie;12;Организации;Гос. Органы
orgName;Приказа общественного призрения;#org_prikaz_public_welfare;7;Организации;Гос. Органы
orgName;Министерства внутренних дел;#org_ministry_internal;4;Организации;Гос. Органы
orgName;Экспедиции о ссыльных;#org_expedition_exiles;2;Организации;Тюрьмы
orgName;Таможенное управление;#org_таможенное_управление;2;Организации;Гос. Органы
orgName;Губернское правление;#org_gubernskoe_pravlenie;1;Организации;Гос. Органы
orgName;Земский суд;#org_земский_суд;1;Организации;Гос. Органы
orgName;возложены на Общее губернское управление;#org_возложены_на_общее_губернское_управление;1;Организации;Гос. Органы
orgName;Министерство внутренних дел;#org_ministry_internal;1;Организации;Гос. Органы
orgName;Главное управление;#org_главное_управление;1;Организации;Гос. Органы
orgName;УПРАВЛЕНИЕ Енисейский приказ;#org_управление_енисейский_приказ;1;Организации;Гос. Органы
orgName;ЧИСЛО ПРИЗРЕВАЕМЫХ ЛЮДЕЙ Приказ;#org_число_призреваемых_людей_приказ;1;Организации;Гос. Органы
orgName;Троицкого солеваренного завода;#org_troitsk_salt_works;1;Организации;Пром-ть
orgName;Приказе общественного призрения;#org_prikaz_public_welfare;1;Организации;Гос. Органы
orgName;Гражданская больница;#org_гражданская_больница;1;Организации;Медицина
orgName;Департамент полиции;#org_police_department;1;Организации;Гос. Органы
orgName;Хозяйственный департамент;#org_хозяйственный_департамент;1;Организации;Гос. Органы
orgName;Медицинский департамент;#org_медицинский_департамент;1;Организации;Гос. Органы
orgName;Департамент полиции;;1;Организации;Гос. Органы
orgName;Губернское правление;;1;Организации;Гос. Органы
orgName;Приказ общественного призрения;;1;Организации;Гос. Органы
orgName;Троицкий солеваренный завод;;1;Организации;Пром-ть
orgName;Министерство внутренних дел;;1;Организации;Гос. Органы
orgName;Экспедиция о ссыльных;;1;Организации;Тюрьмы
orgName;Земский суд;;1;Организации;Гос. Органы
orgName;возложены на Общее губернское управление;;1;Организации;Гос. Органы
orgName;Главное управление;;1;Организации;Гос. Органы
orgName;УПРАВЛЕНИЕ Енисейский приказ;;1;Организации;Гос. Органы
orgName;ЧИСЛО ПРИЗРЕВАЕМЫХ ЛЮДЕЙ Приказ;;1;Организации;Гос. Органы
orgName;Таможенное управление;;1;Организации;Гос. Органы
orgName;Гражданская больница;;1;Организации;Медицина
orgName;Хозяйственный департамент;;1;Организации;Гос. Органы
orgName;Медицинский департамент;;1;Организации;Гос. Органы
persName;Алексей Налабардин;#person_алексей_налабардин;4;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Асташева;#person_асташева;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Репьев;#person_репьев;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Безрукова;#person_безрукова;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Давыдов;#person_давыдов;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Давыдовым;#person_давыдовым;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;ИХ Войско;#person_войско;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Репьев;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Асташева;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Безрукова;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Давыдов;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Давыдовым;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Войско;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Алексей Налабардин;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
persName;Лохвицкий;;1;Люди;Служащие (Чиновничество / Канцелярские служители)
placeName;Енисейской губернии;#place_enisei_province;66;Места;Адм. единицы
placeName;Енисейской;#place_enisei_okrug;42;Места;Насел. пункты
placeName;Красноярской;#place_krasnoyarsk;35;Места;Насел. пункты
placeName;Ачинской;#place_achinsk;33;Места;Насел. пункты
placeName;Канской;#place_kansk;32;Места;Насел. пункты
placeName;Минусинской;#place_minusinsk;32;Места;Насел. пункты
placeName;Енисейская губерния;#place_enisei_province;26;Места;Адм. единицы
placeName;Енисейский;#place_enisei_okrug;21;Места;Насел. пункты
placeName;Красноярске;#place_krasnoyarsk;21;Места;Насел. пункты
placeName;Восточной Сибири;#place_eastern_siberia;20;Места;Адм. единицы
placeName;Ачинске;#place_achinsk;12;Места;Насел. пункты
placeName;Канске;#place_kansk;12;Места;Насел. пункты
placeName;Енисейске;#place_enisei_okrug;12;Места;Насел. пункты
placeName;Енисейского округа;#place_enisei_okrug;10;Места;Адм. единицы
placeName;Минусинске;#place_minusinsk;10;Места;Насел. пункты
placeName;Минусинском округе;#place_minusinsk_okrug;9;Места;Адм. единицы
placeName;Канского округа;#place_kansk_okrug;9;Места;Адм. единицы
placeName;Канском;#place_kansk;9;Места;Насел. пункты
placeName;Красноярском округе;#place_krasnoyarsk_okrug;8;Места;Адм. единицы
placeName;Туруханске;#place_turukhansk;7;Места;Насел. пункты
placeName;Енисейского;#place_enisei_okrug;6;Места;Насел. пункты
placeName;Енисейскому;#place_enisei_okrug;6;Места;Насел. пункты
placeName;Минусинску;#place_minusinsk;6;Места;Насел. пункты
placeName;Иркутской губернии;#place_irkutsk_province;6;Места;Адм. единицы
placeName;Ачинского округа;#place_achinsk_okrug;6;Места;Адм. единицы
placeName;Минусинского округа;#place_minusinsk_okrug;6;Места;Адм. единицы
placeName;Красноярского округа;#place_krasnoyarsk_okrug;6;Места;Адм. единицы
placeName;Красноярск;#place_krasnoyarsk;5;Места;Насел. пункты
placeName;Енисейскою;#place_enisei_okrug;5;Места;Насел. пункты
placeName;Енисейском округе;#place_enisei_okrug;5;Места;Адм. единицы
placeName;Минусинского;#place_minusinsk;5;Места;Насел. пункты
placeName;Енисейску;#place_enisei_okrug;5;Места;Насел. пункты
placeName;Канску;#place_kansk;5;Места;Насел. пункты
placeName;Минусинска;#place_minusinsk;5;Места;Насел. пункты
placeName;Енисейска;#place_enisei_okrug;5;Места;Насел. пункты
placeName;Красноярского;#place_krasnoyarsk;5;Места;Насел. пункты
placeName;Ачинского;#place_achinsk;5;Места;Насел. пункты
placeName;Канском округе;#place_kansk_okrug;5;Места;Адм. единицы
placeName;Красноярску;#place_krasnoyarsk;5;Места;Насел. пункты
placeName;Енисейском;#place_enisei_okrug;4;Места;Насел. пункты
placeName;Ачинском округе;#place_achinsk_okrug;4;Места;Адм. единицы
placeName;Ачинску;#place_achinsk;4;Места;Насел. пункты
placeName;Иркутскую губернию;#place_irkutsk_province;4;Места;Адм. единицы
placeName;Енисейское;#place_enisei_okrug;3;Места;Насел. пункты
placeName;Ачинском;#place_achinsk;3;Места;Насел. пункты
placeName;Минусинском;#place_minusinsk;3;Места;Насел. пункты
placeName;Канского;#place_kansk;3;Места;Насел. пункты
placeName;Иркутск;#place_irkutsk_province;3;Места;Насел. пункты
placeName;Туруханска;#place_turukhansk;3;Места;Насел. пункты
placeName;г. Красноярске;#place_krasnoyarsk;3;Места;Насел. пункты
placeName;Иркутске;#place_irkutsk_province;2;Места;Насел. пункты
placeName;Канский округ;#place_kansk_okrug;2;Места;Адм. единицы
placeName;Ачинский;#place_achinsk;2;Места;Насел. пункты
placeName;Кежемской;#place_кежемской;2;Места;Насел. пункты
placeName;Красноярска;#place_krasnoyarsk;2;Места;Насел. пункты
placeName;Ачинска;#place_achinsk;2;Места;Насел. пункты
placeName;Рыбинской;#place_rybinskoe;2;Места;Насел. пункты
placeName;Анцырской;#place_antsyrskaya_volost;2;Места;Насел. пункты
placeName;Канска;#place_kansk;2;Места;Насел. пункты
placeName;Тесинская;#place_tesinskaya_volost;2;Места;Насел. пункты
placeName;Каменский;#place_kamensky_plant;2;Места;Насел. пункты
placeName;Иркутском;#place_irkutsk_province;2;Места;Насел. пункты
placeName;Красноярском;#place_krasnoyarsk;1;Места;Насел. пункты
placeName;г. Енисейска;#place_eniseysk;1;Места;Насел. пункты
placeName;Нижнеудинский;#place_нижнеудинский;1;Места;Насел. пункты
placeName;Канский;#place_kansk;1;Места;Насел. пункты
placeName;Иркутской;#place_irkutsk_province;1;Места;Насел. пункты
placeName;Томской губернии;#place_tomsk_province;1;Места;Адм. единицы
placeName;Минусинский;#place_minusinsk;1;Места;Насел. пункты
placeName;Томске;#place_tomsk_province;1;Места;Насел. пункты
placeName;Ачинскими;#place_achinsk;1;Места;Насел. пункты
placeName;Томский;#place_tomsk_province;1;Места;Насел. пункты
placeName;Ужурской;#place_ужурской;1;Места;Насел. пункты
placeName;Туруханску;#place_turukhansk;1;Места;Насел. пункты
placeName;Минусинскому;#place_minusinsk;1;Места;Насел. пункты
placeName;г. Красноярска;#place_krasnoyarsk;1;Места;Насел. пункты
placeName;Красноярскому;#place_krasnoyarsk;1;Места;Насел. пункты
placeName;Канскому;#place_kansk;1;Места;Насел. пункты
placeName;Каменском заводе;#place_kamensky_plant;1;Места;Насел. пункты
placeName;Туруханского края;#place_turukhansk_region;1;Места;Насел. пункты
placeName;Туруханском;#place_turukhansk;1;Места;Насел. пункты
placeName;Енисейскую губернию;#place_enisei_province;1;Места;Адм. единицы
placeName;Каменском;#place_kamensky_plant;1;Места;Насел. пункты
placeName;г. Красноярск;#place_krasnoyarsk;1;Места;Насел. пункты
placeName;Анцыферовской;#place_анцыферовской;1;Места;Насел. пункты
placeName;Уринской;#place_уринской;1;Места;Насел. пункты
placeName;Заледеевской;#place_заледеевской;1;Места;Насел. пункты
placeName;Сухобузимской;#place_сухобузимской;1;Места;Насел. пункты
placeName;Минусинск;#place_minusinsk;1;Места;Насел. пункты
placeName;Красноярскому округу;#place_krasnoyarsk_okrug;1;Места;Адм. единицы
placeName;Канских;#place_kansk;1;Места;Насел. пункты
placeName;Иркутскою;#place_irkutsk_province;1;Места;Насел. пункты
placeName;Якутскою;#place_якутскою;1;Места;Насел. пункты
placeName;Охотским;#place_охотским;1;Места;Насел. пункты
placeName;Забайкальским;#place_забайкальским;1;Места;Адм. единицы
placeName;Охотского;#place_охотского;1;Места;Насел. пункты
placeName;Иркутску;#place_irkutsk_province;1;Места;Насел. пункты
placeName;Якутской;#place_якутской;1;Места;Насел. пункты
placeName;Красноярск;;1;Места;Насел. пункты
placeName;Енисейск;;1;Места;Насел. пункты
placeName;Канск;;1;Места;Насел. пункты
placeName;Ачинск;;1;Места;Насел. пункты
placeName;Минусинск;;1;Места;Насел. пункты
placeName;Туруханск;;1;Места;Насел. пункты
placeName;Енисейская губерния;;1;Места;Адм. единицы
