id;Текст сущности;REF (ID);Частота;Type (заполнить);Subtype (заполнить)
orgName;Губернскому правлению;#org_gubernskoe_pravlenie;9;Организации;Гос. Органы
orgName;Губернского правления;#org_gubernskoe_pravlenie;8;Организации;Гос. Органы
orgName;Приказа общественного призрения;#org_prikaz_public_welfare;4;Организации;Гос. Органы
orgName;то Губернское правление;#org_то_губернское_правление;4;Организации;Гос. Органы
orgName;Троицкий солеваренный завод;#org_troitsk_salt_works;3;Организации;Пром-ть
orgName;Троицкого солеваренного завода;#org_troitsk_salt_works;2;Организации;Пром-ть
orgName;Министерства внутренних дел;#org_ministry_internal;2;Организации;Гос. Органы
orgName;потому Губернское правление;#org_потому_губернское_правление;2;Организации;Гос. Органы
orgName;Между тем Губернское правление;#org_между_тем_губернское_правление;2;Организации;Гос. Органы
orgName;стороны Ачинского земского суда настоящего дела Губернское правление;#org_стороны_ачинского_земского_суда_настоящего_дела_губернское_п;2;Организации;Гос. Органы
orgName;стороны Правления сего мерами побуждения Ачинский земский суд;#org_стороны_правления_сего_мерами_побуждения_ачинский_земский_су;2;Организации;Гос. Органы
orgName;Губернским правлением;#org_gubernskoe_pravlenie;2;Организации;Гос. Органы
orgName;Главное управление;#org_главное_управление;1;Организации;Гос. Органы
orgName;Владимирского детского приюта;#org_vladimir_orphanage;1;Организации;Образование
orgName;Владимирский детский приют;#org_vladimir_orphanage;1;Организации;Образование
orgName;Публичная библиотека;#org_публичная_библиотека;1;Организации;Образование
orgName;Губернское правление;#org_gubernskoe_pravlenie;1;Организации;Гос. Органы
orgName;Земская полиция;#org_земская_полиция;1;Организации;Гос. Органы
orgName;Архивы Губернский архив;#org_архивы_губернский_архив;1;Организации;Гос. Органы
orgName;Приказу общественного призрения;#org_prikaz_public_welfare;1;Организации;Гос. Органы
orgName;приготовлена библиотека;#org_приготовлена_библиотека;1;Организации;Образование
orgName;Губернское правление;;1;Организации;Гос. Органы
orgName;Приказ общественного призрения;;1;Организации;Гос. Органы
orgName;Врачебная управа;;1;Организации;Гос. Органы
orgName;Троицкий солеваренный завод;;1;Организации;Пром-ть
orgName;Министерство внутренних дел;;1;Организации;Гос. Органы
orgName;Владимирский детский приют;;1;Организации;Образование
orgName;Земская полиция;;1;Организации;Гос. Органы
orgName;Главное управление;;1;Организации;Гос. Органы
orgName;Минусинске больница;;1;Организации;Медицина
orgName;Публичная библиотека;;1;Организации;Образование
orgName;Архивы Губернский архив;;1;Организации;Гос. Органы
